T,beta_true,Hbeta_post,beta_map
8,8.0,1.1920208908930878,8.0
8,8.0,1.2594175609185918,8.0
8,8.0,1.2427566058575905,8.0
8,8.0,1.1914223388564225,8.0
8,8.0,1.3221996560780458,8.0
8,8.0,1.2065816481574299,8.0
8,8.0,1.2596489426190651,8.0
8,8.0,1.1566671325171574,8.0
8,8.0,1.243613246080872,8.0
8,8.0,1.3948554235209896,8.0
8,8.0,1.2596489426190651,8.0
8,8.0,1.2419473053007728,8.0
8,8.0,1.2068155332298458,8.0
8,8.0,1.3419330610736164,8.0
8,8.0,1.1566671325171574,8.0
8,8.0,1.2596489426190651,8.0
8,8.0,1.2066849328707858,8.0
8,8.0,1.1584135123264876,8.0
8,8.0,1.2596489426190651,8.0
8,8.0,1.2066849328707858,8.0
8,8.0,1.2068155332298458,8.0
8,8.0,1.2065816481574299,8.0
8,8.0,1.2065816481574299,8.0
8,8.0,1.206987069788633,8.0
8,8.0,1.3412005710635309,8.0
8,8.0,1.2427566058575905,8.0
8,8.0,1.2066849328707858,8.0
8,8.0,1.1920208908930878,8.0
8,8.0,1.2422492672100056,8.0
8,8.0,1.3221996560780458,8.0
8,8.0,1.341202807041575,8.0
8,8.0,1.2066849328707858,8.0
8,8.0,1.3419371630233776,8.0
8,8.0,1.2594175609185918,8.0
8,8.0,1.2596489426190651,8.0
8,8.0,1.39638265014666,8.0
8,8.0,1.2068155332298458,8.0
8,8.0,1.2427566058575905,8.0
8,8.0,1.2065816481574299,8.0
8,8.0,1.3021899187853738,8.0
8,8.0,1.1584135123264876,8.0
6,0.5,1.4510938620298697,1.0
9,0.5,1.0037260491896682,1.0
27,0.5,0.08275001122725507,0.5
13,0.5,0.99956540763726,1.0
9,0.5,0.9849059601437715,1.0
19,0.5,0.41175800245287325,0.5
13,0.5,0.8935530583824698,0.5
8,0.5,1.0033478755292766,1.0
12,0.5,0.8783338556436366,0.5
30,0.5,0.19302925571889126,0.5
23,0.5,0.5058089888645566,0.5
23,0.5,0.33365724255384327,0.5
16,0.5,0.5848545176341757,0.5
8,0.5,1.0719630378462104,1.0
7,0.5,1.1807117282135402,1.0
9,0.5,1.022378266642204,1.0
5,0.5,1.6624618557639748,3.0
19,0.5,0.7006572945878151,0.5
7,0.5,1.3917677071438073,1.0
21,0.5,0.38940499679384044,0.5
11,0.5,0.9720905691402123,0.5
10,0.5,1.0066970857041453,1.0
15,0.5,0.9723208648677627,0.5
27,0.5,0.25459681263024503,0.5
14,0.5,0.9732736856244797,0.5
11,0.5,0.9830518233371737,0.5
19,0.5,0.4437602085787766,0.5
15,0.5,0.8896559256448827,0.5
19,0.5,0.7044925334629059,0.5
24,0.5,0.2532151570571199,0.5
30,0.5,0.013696524158509794,0.5
10,0.5,1.02160160536338,1.0
7,0.5,1.1598839757060708,1.0
15,0.5,0.8510582819442658,0.5
9,0.5,1.0604512722887378,1.0
15,0.5,0.9371299726828651,0.5
4,0.5,1.4108793191305218,8.0
7,0.5,1.3916056486868729,1.0
10,0.5,1.0039455459737785,1.0
30,0.5,0.025078330154916728,0.5
12,0.5,0.9644302862127744,0.5
19,0.5,0.46566427307459146,0.5
17,0.5,0.4484956978099334,0.5
11,0.5,0.9449482559842596,0.5
12,0.5,0.7918539583331673,0.5
9,0.5,0.9950281192241931,1.0
20,0.5,0.6555049919101074,0.5
20,0.5,0.7017194356262162,0.5
9,0.5,1.0485039183600982,1.0
19,0.5,0.6995289869561576,0.5
10,1.0,1.0019289487708551,1.0
6,1.0,1.4030776291497822,1.0
7,1.0,1.1598839757060708,1.0
10,1.0,1.0050997706306257,1.0
8,1.0,1.087312881643224,1.0
6,1.0,1.4030776291497826,1.0
10,1.0,1.0123989093977166,1.0
6,1.0,1.427592098934539,1.0
6,1.0,1.9277438377804847,1.0
6,1.0,1.7443039453081592,1.0
12,1.0,0.8719746616382268,0.5
7,1.0,1.2788529492866418,1.0
4,1.0,1.4108793191305218,8.0
7,1.0,1.1183662207377258,1.0
11,1.0,0.9935266224319308,0.5
20,1.0,0.6319612985961948,0.5
6,1.0,1.4030776291497826,1.0
7,1.0,1.2990936987729302,1.0
12,1.0,0.9985599765350349,1.0
8,1.0,1.0935811639442081,1.0
4,1.0,1.4108793191305218,8.0
12,1.0,0.9990520550608109,1.0
14,1.0,1.0007404216558722,0.5
6,1.0,1.8930078249244966,1.0
7,1.0,1.1807117282135402,1.0
6,1.0,1.9281131529112963,1.0
6,1.0,1.7443039453081592,1.0
6,1.0,1.9145637426824222,1.0
7,1.0,1.1390927946891733,1.0
8,1.0,1.0673951817784952,1.0
7,1.0,1.1183662207377258,1.0
7,1.0,1.3616016915008218,1.0
10,1.0,0.9944020007440532,1.0
8,1.0,1.0935811639442081,1.0
7,1.0,1.361601691500822,1.0
7,1.0,1.3051554931161027,1.0
8,1.0,1.0673951817784955,1.0
6,1.0,1.7928495012157333,1.0
12,1.0,0.9995750389026204,0.5
11,1.0,1.0070264724408862,1.0
5,1.0,1.6617991073788327,3.0
12,1.0,1.0007249386628763,1.0
13,1.0,0.9920765323532122,0.5
10,1.0,0.9970886142736041,0.5
5,1.0,1.6617991073788323,3.0
8,1.0,1.0673951817784952,1.0
4,1.0,1.4108793191305218,8.0
8,1.0,1.0865531847789827,1.0
5,1.0,1.6624618557639748,3.0
4,1.0,1.4108793191305218,8.0
5,3.0,1.6617991073788323,3.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
5,3.0,1.6617991073788323,3.0
5,3.0,1.6617991073788323,3.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
5,3.0,1.6624618557639748,3.0
5,3.0,1.6617991073788323,3.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
5,3.0,1.6617991073788323,3.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
5,3.0,1.6617991073788323,3.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
5,3.0,1.6617991073788327,3.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
5,3.0,1.6624618557639748,3.0
6,3.0,1.427592098934539,1.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,3.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
4,8.0,1.4108793191305218,8.0
